region,lat,long
sioux city,42.43287629629619,-96.36978469135798
siskiyou county,41.48588809523809,-122.52573809523804
south bend / michiana,41.64063429394816,-86.15468775216138
south coast,41.910056130790245,-71.08413978201627
south florida,25.99310694444457,-80.19406416666706
south jersey,39.79255124943195,-74.98100318037284
southeast IA,40.220726315789484,-91.80697543859657
southeast KS,37.73809105691057,-96.0001113821138
southeast alaska,57.84458170731708,-134.29526585365852
southeast missouri,36.899453846153854,-89.77009230769234
southern illinois,37.64954706060598,-89.26901696969703
southern maryland,38.60222555147056,-76.86930073529422
southwest KS,36.841011627906944,-98.40166046511627
southwest MN,44.27283064516129,-95.4881370967742
southwest MS,31.779025000000004,-90.09383333333334
southwest michigan,41.95781620947625,-85.96433441396508
space coast,28.132454266348137,-80.67361566985667
spokane / coeur d'alene,47.66996148618047,-117.22207204349897
springfield,37.69977004968058,-92.49459254790605
st augustine,29.815917587939683,-81.41596281407026
st cloud,45.49432274406337,-94.1134313456456
st joseph,39.7470925925926,-94.8015562962963
st louis,38.721666666666664,-90.30337777777778
"st louis, MO",38.647539119496734,-90.3530327463305
statesboro,32.54653541666668,-82.04057291666665
stillwater,36.12716666666667,-97.01780000000001
stockton,37.94845597508776,-121.3441353834187
susanville,39.315799999999996,-121.18086666666665
syracuse,43.08054551422328,-76.31203960612709
tallahassee,30.47158142712517,-84.30601644736892
tampa bay area,28.01050182242972,-82.5341583644862
terre haute,39.453567708333345,-87.37977187500003
texarkana,33.37018539325838,-94.40354831460685
texoma,33.6183,-96.6453
the thumb,43.34872888888891,-83.24855777777778
toledo,41.65898333333334,-83.58881666666666
topeka,39.0072423351157,-95.72658721033996
treasure coast,27.273940512820317,-80.32840917378932
tucson,32.24952326431155,-110.92393991067728
tulsa,36.044285714285714,-95.76864285714286
tuscaloosa,33.168251078167025,-87.50919177897613
tuscarawas co,40.5802,-81.5679
twin falls,42.63658181818184,-114.32879545454551
twin tiers NY/PA,41.24651666666667,-77.97651666666665
upper peninsula,46.54140722891565,-87.63763975903612
utica-rome-oneida,43.08873636363636,-75.31659480519481
valdosta,30.84838954635117,-83.32235680473343
ventura county,34.22825477114067,-118.98566043444474
visalia-tulare,36.281699777282945,-119.33240534521148
"washington, DC",38.910891767554446,-77.09263611783678
waterloo / cedar falls,42.5150042207792,-92.3803529220778
watertown,43.984588048780516,-75.95194951219497
western IL,40.508425925925934,-90.73957407407407
western KY,36.99387794117645,-88.22475441176472
western maryland,39.58155565610855,-78.01431674208152
western massachusetts,42.23809483933793,-72.52440623174274
western slope,38.42607526881724,-107.89301881720421
wichita,37.695721906693784,-97.31372647058696
wilmington,34.23476723677182,-77.90495804382589
winston-salem,36.06016356772024,-80.19447404435955
worcester / central MA,42.32271231630521,-71.70820454863508
yuba-sutter,39.024594701986814,-121.2448933774833
yuma,32.69924883720938,-114.61297209302315
zanesville / cambridge,39.99713333333333,-81.98936666666667
